record_type,series,decade,first_rate_year,last_rate_year,economy,code,class_2025,class_at_decade_start,middle_income_at_decade_start,annual_rates_used,decade_median_growth_pct,population_mn,population_year,in_balanced_sample,n_economies,weighted_median_economy,plotted
economy,,2006-15,2006,2015,Ecuador,ECU,UM,LM,True,10,8.5757,16.266,2015,True,,,True
economy,,2016-25,2016,2025,Ecuador,ECU,UM,UM,True,10,1.7179,18.29,2025,True,,,True
economy,,1988-95,1988,1995,"Egypt, Arab Rep.",EGY,LM,LM,True,8,-1.3699,58.397,1990,True,,,True
economy,,1996-2005,1996,2005,"Egypt, Arab Rep.",EGY,LM,LM,True,10,4.0229,81.101,2005,True,,,True
economy,,2006-15,2006,2015,"Egypt, Arab Rep.",EGY,LM,LM,True,10,9.6769,99.597,2015,True,,,True
economy,,2016-25,2016,2025,"Egypt, Arab Rep.",EGY,LM,LM,True,10,-3.7668,118.366,2025,True,,,True
economy,,1988-95,1988,1995,El Salvador,SLV,UM,LM,True,8,7.2934,5.4,1990,True,,,True
economy,,1996-2005,1996,2005,El Salvador,SLV,UM,LM,True,10,5.9984,6.006,2005,True,,,True
economy,,2006-15,2006,2015,El Salvador,SLV,UM,LM,True,10,4.6341,6.184,2015,True,,,True
economy,,2016-25,2016,2025,El Salvador,SLV,UM,LM,True,10,4.7466,6.366,2025,True,,,True
economy,,1988-95,1988,1995,Equatorial Guinea,GNQ,UM,L,False,8,-1.5152,0.474,1990,True,,,True
economy,,1996-2005,1996,2005,Equatorial Guinea,GNQ,UM,L,False,10,27.2757,0.947,2005,True,,,True
economy,,2006-15,2006,2015,Equatorial Guinea,GNQ,UM,UM,True,10,11.2508,1.454,2015,True,,,True
economy,,2016-25,2016,2025,Equatorial Guinea,GNQ,UM,UM,True,10,-3.8836,1.938,2025,True,,,True
economy,,1988-95,1988,1995,Eswatini,SWZ,LM,LM,True,5,,0.872,1990,False,,,False
economy,,1996-2005,1996,2005,Eswatini,SWZ,LM,LM,True,10,1.4402,1.079,2005,False,,,False
economy,,2006-15,2006,2015,Eswatini,SWZ,LM,LM,True,10,3.6152,1.143,2015,False,,,False
economy,,2016-25,2016,2025,Eswatini,SWZ,LM,LM,True,10,1.7842,1.256,2025,False,,,False
economy,,1988-95,1988,1995,Fiji,FJI,UM,LM,True,8,3.2042,0.773,1990,True,,,True
economy,,1996-2005,1996,2005,Fiji,FJI,UM,LM,True,10,1.1211,0.882,2005,True,,,True
economy,,2006-15,2006,2015,Fiji,FJI,UM,LM,True,10,4.1272,0.919,2015,True,,,True
economy,,2016-25,2016,2025,Fiji,FJI,UM,UM,True,10,3.2937,0.933,2025,True,,,True
economy,,1988-95,1988,1995,Gabon,GAB,UM,UM,True,8,2.1008,0.984,1990,True,,,True
economy,,1996-2005,1996,2005,Gabon,GAB,UM,UM,True,10,5.1035,1.463,2005,True,,,True
economy,,2006-15,2006,2015,Gabon,GAB,UM,UM,True,10,3.5584,2.041,2015,True,,,True
economy,,2016-25,2016,2025,Gabon,GAB,UM,UM,True,10,2.6904,2.593,2025,True,,,True
economy,,1988-95,1988,1995,Georgia,GEO,UM,,False,5,,4.802,1990,False,,,False
economy,,1996-2005,1996,2005,Georgia,GEO,UM,L,False,10,12.7747,3.902,2005,False,,,False
economy,,2006-15,2006,2015,Georgia,GEO,UM,LM,True,10,10.6489,3.725,2015,False,,,False
economy,,2016-25,2016,2025,Georgia,GEO,UM,UM,True,10,10.4133,3.936,2025,False,,,False
economy,,1988-95,1988,1995,Ghana,GHA,LM,L,False,8,-1.3514,15.395,1990,True,,,True
economy,,1996-2005,1996,2005,Ghana,GHA,LM,L,False,10,2.6671,22.449,2005,True,,,True
economy,,2006-15,2006,2015,Ghana,GHA,LM,L,False,10,11.4352,28.696,2015,True,,,True
economy,,2016-25,2016,2025,Ghana,GHA,LM,LM,True,10,2.8697,35.064,2025,True,,,True
economy,,1988-95,1988,1995,Grenada,GRD,UM,LM,True,8,3.9387,0.1,1990,True,,,True
economy,,1996-2005,1996,2005,Grenada,GRD,UM,LM,True,10,6.0734,0.11,2005,True,,,True
economy,,2006-15,2006,2015,Grenada,GRD,UM,UM,True,10,2.5969,0.115,2015,True,,,True
economy,,2016-25,2016,2025,Grenada,GRD,UM,UM,True,10,6.3956,0.117,2025,True,,,True
economy,,1988-95,1988,1995,Guatemala,GTM,UM,LM,True,8,5.2433,9.025,1990,True,,,True
economy,,1996-2005,1996,2005,Guatemala,GTM,UM,LM,True,10,4.8328,13.088,2005,True,,,True
economy,,2006-15,2006,2015,Guatemala,GTM,UM,LM,True,10,6.372,15.972,2015,True,,,True
economy,,2016-25,2016,2025,Guatemala,GTM,UM,LM,True,10,5.7592,18.688,2025,True,,,True
economy,,1988-95,1988,1995,Guinea,GIN,LM,L,False,8,1.5476,6.434,1990,True,,,True
economy,,1996-2005,1996,2005,Guinea,GIN,LM,L,False,10,-4.057,9.246,2005,True,,,True
economy,,2006-15,2006,2015,Guinea,GIN,LM,L,False,10,2.2614,11.767,2015,True,,,True
economy,,2016-25,2016,2025,Guinea,GIN,LM,L,False,10,7.4813,15.1,2025,True,,,True
economy,,1988-95,1988,1995,Haiti,HTI,LM,L,False,8,2.2063,6.854,1990,True,,,True
economy,,1996-2005,1996,2005,Haiti,HTI,LM,L,False,10,10.1516,9.061,2005,True,,,True
economy,,2006-15,2006,2015,Haiti,HTI,LM,L,False,10,8.6722,10.523,2015,True,,,True
economy,,2016-25,2016,2025,Haiti,HTI,LM,L,False,10,1.9024,11.906,2025,True,,,True
economy,,1988-95,1988,1995,Honduras,HND,LM,LM,True,8,-3.0592,4.98,1990,True,,,True
economy,,1996-2005,1996,2005,Honduras,HND,LM,L,False,10,5.0794,7.478,2005,True,,,True
economy,,2006-15,2006,2015,Honduras,HND,LM,LM,True,10,4.2158,9.237,2015,True,,,True
economy,,2016-25,2016,2025,Honduras,HND,LM,LM,True,10,5.4841,11.006,2025,True,,,True
economy,,1988-95,1988,1995,India,IND,LM,L,False,8,0.0,864.972,1990,True,,,True
economy,,1996-2005,1996,2005,India,IND,LM,L,False,10,4.9085,1154.676,2005,True,,,True
economy,,2006-15,2006,2015,India,IND,LM,L,False,10,8.9001,1328.024,2015,True,,,True
economy,,2016-25,2016,2025,India,IND,LM,LM,True,10,6.4409,1463.866,2025,True,,,True
economy,,1988-95,1988,1995,Indonesia,IDN,UM,L,False,8,8.0128,183.501,1990,True,,,True
economy,,1996-2005,1996,2005,Indonesia,IDN,UM,LM,True,10,10.8689,230.872,2005,True,,,True
economy,,2006-15,2006,2015,Indonesia,IDN,UM,LM,True,10,14.3981,261.799,2015,True,,,True
economy,,2016-25,2016,2025,Indonesia,IDN,UM,LM,True,10,4.7884,285.721,2025,True,,,True
economy,,1988-95,1988,1995,"Iran, Islamic Rep.",IRN,UM,UM,True,8,-10.9401,58.38,1990,True,,,True
economy,,1996-2005,1996,2005,"Iran, Islamic Rep.",IRN,UM,LM,True,10,8.7465,71.828,2005,True,,,True
economy,,2006-15,2006,2015,"Iran, Islamic Rep.",IRN,UM,LM,True,10,11.899,82.619,2015,True,,,True
economy,,2016-25,2016,2025,"Iran, Islamic Rep.",IRN,UM,UM,True,10,1.2327,92.418,2025,True,,,True
economy,,1988-95,1988,1995,Iraq,IRQ,UM,UM,True,8,2.4496,17.581,1990,True,,,True
economy,,1996-2005,1996,2005,Iraq,IRQ,UM,LM,True,10,22.6525,28.407,2005,True,,,True
economy,,2006-15,2006,2015,Iraq,IRQ,UM,LM,True,10,13.1322,37.561,2015,True,,,True
economy,,2016-25,2016,2025,Iraq,IRQ,UM,UM,True,10,1.1409,47.021,2025,True,,,True
economy,,1988-95,1988,1995,Jamaica,JAM,UM,LM,True,8,9.2792,2.38,1990,True,,,True
economy,,1996-2005,1996,2005,Jamaica,JAM,UM,LM,True,10,5.2108,2.687,2005,True,,,True
economy,,2006-15,2006,2015,Jamaica,JAM,UM,LM,True,10,3.1304,2.803,2015,True,,,True
economy,,2016-25,2016,2025,Jamaica,JAM,UM,UM,True,10,6.0029,2.837,2025,True,,,True
economy,,1988-95,1988,1995,Jordan,JOR,UM,LM,True,8,2.1759,3.622,1990,True,,,True
economy,,1996-2005,1996,2005,Jordan,JOR,UM,LM,True,10,3.6598,6.03,2005,True,,,True
economy,,2006-15,2006,2015,Jordan,JOR,UM,LM,True,10,5.5452,9.545,2015,True,,,True
