Economy,Code,2025 class,"Median, last 10 years",Floor,Cap,Rate used,Adjustment,Change,Obs,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Status
Curaçao,CUW,H,0.032364,0.01244,0.071689,0.032364,unadjusted,0,9,-0.027689,-0.001643,0.032364,0.017003,-0.154127,0.108709,0.140947,0.044922,0.054673,,projected
Cyprus,CYP,H,0.030796,0.01244,0.071689,0.030796,unadjusted,0,10,-0.048733,0.008197,0.102439,0.04646,-0.056378,0.103809,0.079161,0.015047,0.015133,0.09857,projected
Czechia,CZE,H,0.057969,0.01244,0.071689,0.057969,unadjusted,0,10,-0.037077,0.039071,0.128065,0.084058,-0.011141,0.149166,0.067059,0.048879,0.03609,0.114643,projected
Côte d'Ivoire,CIV,LM,0.041707,0.01244,0.074681,0.041707,unadjusted,0,10,0,-0.005319,0.074866,0.054726,0,0.084906,0.06087,0.028689,0.003984,0.103175,projected
Denmark,DNK,H,0.018987,0.01244,0.071689,0.018987,unadjusted,0,10,-0.041756,-0.021269,0.079329,0.031593,-0.004919,0.11322,0.031944,0.000555,0.006382,0.064103,projected
Djibouti,DJI,LM,0.059313,0.01244,0.074681,0.059313,unadjusted,0,10,0.039474,0.033755,0.061224,0.069231,0,0.07554,0.107023,0.057402,0.04,0.087912,projected
Dominica,DMA,UM,0.052588,0.01244,0.090712,0.052588,unadjusted,0,10,0.065246,0.00875,0.100372,0.052928,-0.119786,0.052248,0.124711,0.025667,-0.006006,0.076536,projected
Dominican Republic,DOM,UM,0.052423,0.01244,0.090712,0.052423,unadjusted,0,10,0.043277,0.025185,0.098266,0.044737,-0.108312,0.152542,0.121324,0.060109,0.062887,0.030068,projected
Ecuador,ECU,UM,0.017179,0.01244,0.090712,0.017179,unadjusted,0,10,-0.036851,0.031304,0.03204,-0.003268,-0.113115,0.127542,0.07377,0.003053,-0.025875,0.076563,projected
"Egypt, Arab Rep.",EGY,LM,-0.037668,0.01244,0.074681,0.01244,raised by floor,0.050108,10,0.032258,-0.1,-0.059028,-0.02583,0.121212,0.172297,0.164265,-0.049505,-0.085938,-0.071225,projected - raised from -3.8% to the 1.244% floor
El Salvador,SLV,UM,0.047466,0.01244,0.090712,0.047466,unadjusted,0,10,0.022727,0.027778,0.064865,0.048223,-0.079903,0.152632,0.075342,0.046709,0.028398,0.067061,projected
Equatorial Guinea,GNQ,UM,-0.038836,0.01244,0.090712,0.01244,raised by floor,0.051276,10,-0.297379,-0.04878,-0.054299,-0.111643,0.102334,-0.026059,-0.128763,0.195777,-0.028892,-0.026446,projected - raised from -3.9% to the 1.244% floor
Eritrea,ERI,L,,0.01244,0.055948,,frozen,,0,,,,,,,,,,,frozen - only 0 of 10 annual rates
Estonia,EST,H,0.042816,0.01244,0.071689,0.042816,unadjusted,0,10,-0.013757,0.026824,0.128527,0.0875,0.003831,0.12341,0.041148,0.002538,0.044485,0.118767,projected
Eswatini,SWZ,LM,0.017842,0.01244,0.074681,0.017842,unadjusted,0,10,-0.076271,0.006116,0.051672,0.063584,-0.067935,0.055394,0.008287,0.027397,-0.082667,0.084302,projected
Ethiopia,ETH,L,0.076908,0.01244,0.055948,0.055948,cut by cap,-0.02096,10,0.087719,0.080645,0.089552,0.082192,0.037975,0.073171,0.090909,0.072917,0.067961,0.009091,projected - cut from 7.7% to the L p90 cap of 5.59%
Faeroe Islands,FRO,H,0.008883,0.01244,0.071689,0.01244,raised by floor,0.003557,9,-0.004508,0.008883,0.085981,0.049603,-0.027416,0.090952,0.041685,0.006167,-0.004086,,projected - raised from 0.9% to the 1.244% floor
Fiji,FJI,UM,0.032937,0.01244,0.090712,0.032937,unadjusted,0,10,0.039419,0.021956,0.111328,-0.02109,-0.181329,-0.039474,0.19863,0.08,0.026455,0.070447,projected
Finland,FIN,H,0.012806,0.01244,0.071689,0.012806,unadjusted,0,10,-0.036278,-0.014172,0.075921,0.035282,0.000807,0.064074,0.024806,-0.023097,-0.021941,0.068459,projected
France,FRA,H,0.016692,0.01244,0.071689,0.016692,unadjusted,0,10,-0.051301,-0.023065,0.074502,0.042969,-0.070927,0.11615,0.0386,-0.005216,-0.013328,0.076838,projected
French Polynesia,PYF,H,0.00911,0.01244,0.071689,0.01244,raised by floor,0.00333,9,-0.038595,0.002255,0.066607,0.035021,-0.096209,0.058187,0.029412,0.00911,-0.011079,,projected - raised from 0.9% to the 1.244% floor
Gabon,GAB,UM,0.026904,0.01244,0.090712,0.026904,unadjusted,0,10,-0.056505,-0.130919,0.072115,0.052317,-0.03125,0.026393,0.021429,0.071329,0.027415,0.027954,projected
"Gambia, The",GMB,L,0.053202,0.01244,0.055948,0.053202,unadjusted,0,10,0,0.050847,0.096774,0.058824,0,0.055556,0.092105,0.048193,0.011494,0.056818,projected
Georgia,GEO,UM,0.104133,0.01244,0.090712,0.090712,cut by cap,-0.013421,10,-0.071111,-0.011962,0.108959,0.043668,-0.094142,0.099307,0.195378,0.179262,0.172876,0.142313,projected - cut from 10.4% to the UM p90 cap of 9.07%
