Economy,Code,2025 class,"Median, last 10 years",Floor,Cap,Rate used,Adjustment,Change,Obs,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Status
"Congo, Rep.",COG,LM,0.01367053308,0.01244,0.074681,0.01367053308,unadjusted,0,10,-0.266233766234,-0.230088495575,0.189655172414,0.053140096618,0.022935779817,-0.085201793722,0.063725490196,0.064516129032,-0.017316017316,0.004405286344,projected
Costa Rica,CRI,H,0.051472112161,0.01244,0.071689,0.051472112161,unadjusted,0,10,0.037140204271,0.036705461056,0.044905008636,0.017355371901,-0.043054427295,0.08234295416,0.058039215686,0.062268346924,0.096301465457,0.141311266709,projected
Croatia,HRV,H,0.074404230887,0.01244,0.071689,0.071689,cut by cap,-0.002715230887,10,-0.035372144436,0.019862490451,0.098876404494,0.074982958419,-0.045022194039,0.154714475432,0.11385853939,0.073825503356,0.06875,0.140800719748,projected - cut from 7.4% to the H p90 cap of 7.17%
Cuba,CUB,UM,0.0497542156,0.01244,0.090712,,frozen,,4,0.035763411279,0.06374501992,0.087390761548,0.034443168772,,,,,,,frozen - only 4 of 10 annual rates
Curaçao,CUW,H,0.032364234778,0.01244,0.071689,0.032364234778,unadjusted,0,9,-0.027689030884,-0.001642935378,0.032364234778,0.017003188098,-0.154127481714,0.108709079679,0.140947075209,0.044921875,0.054672897196,,projected
Cyprus,CYP,H,0.030796487507,0.01244,0.071689,0.030796487507,unadjusted,0,10,-0.04873294347,0.008196721311,0.10243902439,0.046460176991,-0.056377730796,0.103808812547,0.079161028417,0.015047021944,0.015132798023,0.098570124734,projected
Czechia,CZE,H,0.05796895605,0.01244,0.071689,0.05796895605,unadjusted,0,10,-0.03707742639,0.039071347678,0.128065395095,0.084057971014,-0.011140819964,0.149166291122,0.067058823529,0.04887908857,0.036089698669,0.114643219479,projected
Côte d'Ivoire,CIV,LM,0.041707446375,0.01244,0.074681,0.041707446375,unadjusted,0,10,0,-0.005319148936,0.07486631016,0.054726368159,0,0.084905660377,0.060869565217,0.02868852459,0.003984063745,0.103174603175,projected
Denmark,DNK,H,0.018987265018,0.01244,0.071689,0.018987265018,unadjusted,0,10,-0.041756420878,-0.02126923742,0.079328621908,0.031592732035,-0.00491907331,0.113219582204,0.031943847586,0.000555247085,0.006381798002,0.064102564103,projected
Djibouti,DJI,LM,0.059313151242,0.01244,0.074681,0.059313151242,unadjusted,0,10,0.039473684211,0.033755274262,0.061224489796,0.069230769231,0,0.075539568345,0.107023411371,0.057401812689,0.04,0.087912087912,projected
Dominica,DMA,UM,0.05258790078,0.01244,0.090712,0.05258790078,unadjusted,0,10,0.065246338216,0.00875,0.100371747212,0.052927927928,-0.119786096257,0.052247873633,0.124711316397,0.025667351129,-0.006006006006,0.076535750252,projected
Dominican Republic,DOM,UM,0.052423065861,0.01244,0.090712,0.052423065861,unadjusted,0,10,0.043276661515,0.025185185185,0.098265895954,0.044736842105,-0.108312342569,0.152542372881,0.121323529412,0.060109289617,0.062886597938,0.030067895247,projected
Ecuador,ECU,UM,0.01717889147,0.01244,0.090712,0.01717889147,unadjusted,0,10,-0.036850921273,0.031304347826,0.032040472175,-0.003267973856,-0.113114754098,0.127541589649,0.073770491803,0.003053435115,-0.025875190259,0.0765625,projected
